Cluster,CF
SOL-01,0.295777114
SOL-01,0.29599285
SOL-01,0.2964916
SOL-01,0.295798013
SOL-01,0.295443595
SOL-01,0.294772523
SOL-01,0.295208379
SOL-01,0.295460822
SOL-01,0.29573128
SOL-01,0.295140027
SOL-01,0.295655593
SOL-01,0.295696301
SOL-01,0.295393311
SOL-01,0.301797503
SOL-01,0.301097334
SOL-01,0.299746668
SOL-01,0.297868972
SOL-01,0.296675831
SOL-01,0.30038349
SOL-01,0.300195796
SOL-01,0.300583348
SOL-01,0.299934616
SOL-01,0.299225921
SOL-01,0.29903625
SOL-01,0.299251319
SOL-01,0.298639183
SOL-01,0.299085757
SOL-01,0.300045917
SOL-01,0.300030795
SOL-01,0.299322657
SOL-01,0.299364669
SOL-01,0.299348529
SOL-01,0.299505693
SOL-01,0.299778089
SOL-01,0.298430673
SOL-01,0.299975653
SOL-01,0.298524134
SOL-01,0.29868259
SOL-01,0.298898851
SOL-01,0.298825327
SOL-01,0.298809484
SOL-01,0.298851129
SOL-01,0.29883487
SOL-01,0.2987605
SOL-01,0.300418933
SOL-01,0.29709972
SOL-01,0.297618563
SOL-01,0.297893757
SOL-01,0.298342546
SOL-01,0.298616827
SOL-01,0.29883271
SOL-01,0.298874464
SOL-01,0.299089826
SOL-01,0.299939812
SOL-01,0.301247006
SOL-01,0.299791317
SOL-01,0.297409248
SOL-01,0.297277491
SOL-01,0.29813374
SOL-01,0.298755946
SOL-01,0.299029592
SOL-01,0.299244901
SOL-01,0.299806331
SOL-01,0.300350213
SOL-01,0.300851557
SOL-01,0.298156967
SOL-01,0.299010652
SOL-01,0.298879264
SOL-01,0.300133944
SOL-01,0.301325309
SOL-01,0.30159607
SOL-01,0.301694521
SOL-01,0.299838043
SOL-01,0.298148882
SOL-01,0.299522621
SOL-01,0.301233664
SOL-01,0.301676389
SOL-01,0.301603038
SOL-01,0.299630464
SOL-01,0.297183924
SOL-01,0.29896781
SOL-01,0.300624817
SOL-01,0.30135549
SOL-01,0.301396801
SOL-01,0.298844403
SOL-01,0.298237773
SOL-01,0.299783964
SOL-01,0.301034315
SOL-01,0.300903327
SOL-01,0.297939894
SOL-01,0.297680347
SOL-01,0.299114175
SOL-01,0.300079431
SOL-01,0.299775003
SOL-01,0.298659669
SOL-01,0.298973681
SOL-01,0.297052538
SOL-01,0.298882775
SOL-01,0.296596132
SOL-01,0.296984051
SOL-01,0.296866937
SOL-01,0.296974179
SOL-01,0.297305296
SOL-01,0.297747973
SOL-01,0.297340382
SOL-01,0.297223668
SOL-01,0.297274581
SOL-01,0.297549443
SOL-01,0.297991746
SOL-01,0.297416012
SOL-01,0.29746753
SOL-01,0.297518656
SOL-01,0.297625102
SOL-01,0.298123223
SOL-01,0.297766996
SOL-01,0.297532661
SOL-01,0.298142659
SOL-01,0.297282479
SOL-01,0.297159582
SOL-01,0.297994262
SOL-01,0.296954464
SOL-01,0.297565628
SOL-01,0.297024059
SOL-01,0.2971291
SOL-01,0.297350656
SOL-01,0.297234813
SOL-01,0.29694962
SOL-01,0.296719588
SOL-01,0.296375729
SOL-01,0.296256792
SOL-01,0.296137262
SOL-01,0.296130139
SOL-01,0.297261089
SOL-01,0.297482634
SOL-01,0.297479212
SOL-01,0.297419189
SOL-01,0.297077291
SOL-01,0.296846813
SOL-01,0.29661546
SOL-01,0.296326917
SOL-01,0.296319874
SOL-01,0.295916359
SOL-01,0.297224586
SOL-01,0.297333918
SOL-01,0.297386598
SOL-01,0.29738261
SOL-01,0.297209524
SOL-01,0.297091929
SOL-01,0.296860961
SOL-01,0.296685548
SOL-01,0.296339944
SOL-01,0.296275873
SOL-01,0.297131938
SOL-01,0.297185153
SOL-01,0.297574543
SOL-01,0.298242969
SOL-01,0.298238962
SOL-01,0.298290281
SOL-01,0.29811702
SOL-01,0.297999122
SOL-01,0.297149489
SOL-01,0.296747685
SOL-01,0.297039259
SOL-01,0.29742921
SOL-01,0.297930287
